Offense, Amount
MURDER,45
RAPE,29
UNKNOWN OFFENSES,6
DESPERADO,1
SUSPECTED INCENDIARISM,1
SUSPECTED ARSON,1
ENTICING SERVANT AWAY,1
TRAIN WRECKING,1
HIGHWAY ROBBERY,1
INCENDIARISM,2
ARSON,1
ASSAULT,1
NO OFFENSE,1
BURGLARY,2
ALLEGED RAPE,1
ATTEMPTED RAPE,11
RACE PREJUDICE,2
INTRODUCING SMALLPOX,1
KIDNAPPING,1
CONSPIRACY,1
HORSE STEALING,3
WRITING LETTER TO WHITE WOMAN,1
GIVING INFORMATION,1
STEALING,1
LARCENY,1
POLITICAL CAUSES,1
CONJURING,1
ATTEMPTED MURDER,1
ALLEGED MURDER,2
WITHOUT CAUSE,1
BARN BURNING,10
ASKING WHITE WOMAN TO MARRY HIM,1
